Альбер Камю;Посторонний
Марсель Пруст;В поисках утраченного времени
Франц Кафка;Процесс
Антуан де Сент-Экзюпери;Маленький принц
Андре Мальро;Удел человеческий
Луи-Фердинанд Селин;Путешествие на край ночи
Джон Стейнбек;Гроздья гнева
Эрнест Хемингуэй;По ком звонит колокол
Ален-Фурнье;Большой Мольн
Борис Виан;Пена дней
Симона де Бовуар;Второй пол
Сэмюэль Беккет;В ожидании Годо
Жан-Поль Сартр;Бытие и ничто
Умберто Эко;Имя розы
Александр Солженицын;Архипелаг ГУЛАГ
Жак Превер;Слова
Гийом Аполлинер;Алкоголи
Эрже;Голубой лотос
Анна Франк;Дневник Анны Франк
Клод Леви-Стросс;Печальные тропики
Олдос Хаксли;О дивный новый мир
Джордж Оруэлл;1984
Рене Госинни и Альбер Удерзо;Астерикс из Галлии
Эжен Ионеско;Лысая певица
Зигмунд Фрейд;Три очерка по теории сексуальности
Маргерит Юрсенар;Философский камень
Владимир Набоков;Лолита
Джеймс Джойс;Улисс
Дино Буццати;Татарская пустыня
Андре Жид;Фальшивомонетчики
Жан Жионо;Всадник на крыше
Альбер Коэн;Прекрасная дама
Габриэль Гарсия Маркес;Сто лет одиночества
Уильям Фолкнер;Шум и ярость
Франсуа Мориак;Тереза Дескейру
Раймон Кено;Зази в метро
Стефан Цвейг;Смятение чувств
Маргарет Митчелл;Унесённые ветром
Дэвид Герберт Лоуренс;Любовник леди Чаттерлей
Томас Манн;Волшебная гора
Франсуаза Саган;Здравствуй, грусть!
Веркор;Молчание моря
Жорж Перек;Жизнь, способ употребления
Артур Конан Дойль;Собака Баскервилей
Жорж Бернанос;Под солнцем Сатаны
Фрэнсис Скотт Фицджеральд;Великий Гэтсби
Милан Кундера;Шутка
Альберто Моравиа;Презрение
Агата Кристи;Убийство Роджера Экройда
Андре Бретон;Надя
Луи Арагон;Орельен
Поль Клодель;Атласный башмачок
Луиджи Пиранделло;Шесть персонажей в поисках автора
Бертольт Брехт;Карьера гангстера Артуро Уи, которой могло и не быть
Мишель Турнье;Пятница, или Тихоокеанский лимб
Герберт Уэллс;Война миров
Примо Леви;Человек ли это?
Дж. Р. Р. Толкин;Властелин колец
Колетт;Усики виноградной лозы
Поль Элюар;Град скорби
Джек Лондон;Мартин Иден
;Корто Мальтезе
1967;Уго Пратт
Ролан Барт;Нулевая степень письма
Генрих Бёлль;Потерянная честь Катарины Блюм
Жюльен Грак;Побережье Сирта
Мишель Фуко;Слова и вещи. Археология гуманитарных наук
Джек Керуак;На дороге
Сельма Лагерлёф;Чудесное путешествие Нильса с дикими гусями
Вирджиния Вульф;Своя комната
Рэй Брэдбери;Марсианские хроники
Маргерит Дюрас;Восхищение Лол Стайн
Жан-Мари Гюстав Леклезио;Протокол
Натали Саррот;Тропизмы
Жюль Ренар;Дневник
Джозеф Конрад;Лорд Джим
Жак Лакан;Сочинения
Антонен Арто;Театр и его двойник
Джон Дос Пассос;Манхэттен
Хорхе Луис Борхес;Вымышленные истории
Блез Сандрар;Мораважин
Исмаиль Кадаре;Генерал мёртвой армии
Уильям Стайрон;Выбор Софи
Федерико Гарсиа Лорка;Цыганское романсеро
Жорж Сименон;Петерс Латыш
Жан Жене;Богоматерь цветов
Роберт Музиль;Человек без свойств
Рене Шар;Ярость и тайна
Дж. Д. Сэлинджер;Над пропастью во ржи
Джеймс Хедли Чейз;Нет орхидей для мисс Блэндиш
Эдгар П. Жакоб[fr];Блейк и Мортимер
Райнер Мария Рильке;Записки Мальте Лауридса Бригге
Мишель Бютор;Изменение
Ханна Арендт;Истоки тоталитаризма
Михаил Булгаков;Мастер и Маргарита
Генри Миллер;Сексус, Плексус, Нексус
Раймонд Чандлер;Глубокий сон
Сен-Жон Перс;Створы
Андре Франкин;Гастон
Малькольм Лаури;У подножия вулкана
Салман Рушди;Дети полуночи
Джон Р. Р. Толкин;Властелин колец
Джейн Остин;Гордость и предубеждение
Филип Пулман;Тёмные начала
Дуглас Адамс;Автостопом по галактике
Джоан Роулинг;Гарри Поттер и Кубок огня
Харпер Ли;Убить пересмешника
Алан Александр Милн;Винни Пух
Джордж Оруэлл;1984
Клайв Стэйплз Льюис;Лев, колдунья и платяной шкаф
Шарлотта Бронте;Джейн Эйр
Джозеф Хеллер;Уловка-22
Эмили Бронте;Грозовой перевал
Себастьян Фолкс;Пение птиц
Дафна Дюморье;Ребекка
Джером Сэлинджер;Над пропастью во ржи
Кеннет Грэм;Ветер в ивах
Чарльз Диккенс;Большие надежды
Луиза Мэй Олкотт;Маленькие женщины
Луи де Берньер;Мандолина капитана Корелли
Лев Толстой;Война и мир
Маргарет Митчелл;Унесённые ветром
Джоан Роулинг;Гарри Поттер и философский камень
Джоан Роулинг;Гарри Поттер и Тайная комната
Джоан Роулинг;Гарри Поттер и узник Азкабана
Джон Р. Р. Толкин;Хоббит, или Туда и обратно
Томас Харди;Тэсс из рода д’Эрбервиллей
Джордж Элиот;Миддлмарч
Джон Ирвинг;Молитва об Оуэне Мини
Джон Стейнбек;Гроздья гнева
Льюис Кэрролл;Алиса в Стране чудес
Жаклин Уилсон;Дневник Трейси Бикер
Габриэль Гарсиа Маркес;Сто лет одиночества
Кен Фоллетт;Столпы Земли
Чарльз Диккенс;Дэвид Копперфильд
Роальд Даль;Чарли и шоколадная фабрика
Роберт Стивенсон;Остров сокровищ
Невил Шют;Город как Элис
Джейн Остин;Доводы рассудка
Фрэнк Герберт;Дюна
Джейн Остин;Эмма
Люси Мод Монтгомери;Аня из Зелёных Мезонинов
Ричард Адамс;Обитатели холмов
Фрэнсис Скотт Фицджеральд;Великий Гэтсби
Александр Дюма;Граф Монте-Кристо
Ивлин Во;Возвращение в Брайдсхед
Джордж Оруэлл;Скотный двор
Чарльз Диккенс;Рождественская песнь
Томас Харди;Вдали от обезумевшей толпы
Мишель Магорян;Спокойной ночи, мистер Том
Розамунд Пилчер;Семейная реликвия
Фрэнсис Бернетт;Таинственный сад
Джон Стейнбек;О мышах и людях
Стивен Кинг;Противостояние
Лев Толстой;Анна Каренина
Викрам Сет;Подходящий жених
Роальд Даль;БДВ, или Большой и добрый великан
Артур Рэнсом;Ласточки и амазонки
Анна Сьюэлл;Чёрный красавчик
Йон Колфер;Артемис Фаул
Фёдор Достоевский;Преступление и наказание
Мэлори Блэкмен;Крестики-нолики
Артур Голден;Мемуары гейши
Чарльз Диккенс;Повесть о двух городах
Колин Маккалоу;Поющие в терновнике
Терри Пратчетт;Мор, ученик Смерти
Энид Блайтон;Далёкое волшебное дерево
Джон Фаулз;Волхв
Терри Пратчетт;Благие знамения
Терри Пратчетт;Стража! Стража!
Уильям Голдинг;Повелитель мух
Патрик Зюскинд;Парфюмер
Роберт Тресселл;Филантропы в рваных штанах
Терри Пратчетт;Ночная стража
Роальд Даль;Матильда
Хелен Филдинг;Дневник Бриджит Джонс
Донна Тартт;Тайная история
Уильям Уилки Коллинз;Женщина в белом
Джеймс Джойс;Улисс
Чарльз Диккенс;Холодный дом
Жаклин Уилсон;Двойняшки
Роальд Даль;Семейство Твит
Доди Смит;Я захватываю замок
Луис Сашар;Ямы
Мервин Пик;Горменгаст
Арундати Рой;Бог мелочей»
Жаклин Уилсон;Вики-Ангел
Олдос Хаксли;О дивный новый мир
Стелла Гиббонс;Неуютная ферма
Раймонд Фэйст;Чародей
Джек Керуак;В дороге
Марио Пьюзо;Крёстный отец
Джин Ауэл;Клан пещерного медведя
Терри Пратчетт;Цвет волшебства
Пауло Коэльо;Алхимик
Аня Сетон;Кэтрин
Джеффри Арчер;Каин и Авель
Габриэль Гарсиа Маркес;Любовь во время холеры
Жаклин Уилсон;Девчонки в поисках любви
Мэг Кэбот;Дневники принцессы
Салман Рушди;Дети полуночи
Джером К. Джером;Трое в лодке, не считая собаки
Терри Пратчетт;Мелкие боги
Алекс Гарленд;Пляж
Брэм Стокер;Дракула
Энтони Горовиц;Белый пик
Чарльз Диккенс;Посмертные записки Пиквикского клуба
Энтони Горовиц;Громобой
Иэн Бэнкс;Осиная фабрика
Фредерик Форсайт;День Шакала
Жаклин Уилсон;Разрисованная мама
Томас Харди;Джуд Незаметный
Сью Таунсенд;Тайный дневник Адриана Моула, 13 3/4 лет
Николас Монсаррат;Жестокое море
Виктор Гюго;Отверженные
Томас Харди;Мэр Кэстербриджа
Жаклин Уилсон;Рискованные игры
Жаклин Уилсон;Плохие девчонки
Оскар Уайльд;Портрет Дориана Грея
Джеймс Клавелл;Сёгун
Джон Уиндем;День триффидов
Жаклин Уилсон;Лола Роза
Уильям Теккерей;Ярмарка тщеславия
Марк Данилевский;Дом из листьев
Джон Голсуорси;Сага о Форсайтах
Барбара Кингсолвер;Библия ядовитого леса
Терри Пратчетт;Мрачный Жнец
Луиз Рэннисон;Ангус, ремни и конкретные обжимашки
Артур Конан Дойль;Собака Баскервилей
Антония Сьюзен Байетт;Обладать
Михаил Булгаков;Мастер и Маргарита
Маргарет Этвуд;Рассказ служанки
Роальд Даль;Денни — чемпион мира
Джон Стейнбек;К востоку от рая
Роальд Даль;Лечение Джорджа Марвелуса
Терри Пратчетт;Вещие сестрички
Элис Уокер;Пурпурный цвет
Терри Пратчетт;Санта-Хрякус
Джон Бакен;39 ступеней
Жаклин Уилсон;Девчонки в слезах
Жаклин Уилсон;Вечеринка с ночёвкой
Эрих Мария Ремарк;На западном фронте без перемен
Кейт Аткинсон;В хранилищах музея
Ник Хорнби;Hi-Fi
Стивен Кинг;Оно
Роальд Даль;Джеймс и гигантский персик
Стивен Кинг;Зелёная миля
Анри Шарьер;Мотылёк
Терри Пратчетт;К оружию! К оружию!
Патрик О’Брайан;Хозяин морей: Командир и штурман
Энтони Горовиц;Ключ от всех дверей
Терри Пратчетт;Роковая музыка
Терри Пратчетт;Вор времени
Терри Пратчетт;Пятый элефант
Иэн Макьюэн;Искупление
Жаклин Уилсон;Секреты
Иэн Серрайе;Серебряный меч
Кен Кизи;Пролетая над гнездом кукушки
Джозеф Конрад;Сердце тьмы
Редьярд Киплинг;Ким
Диана Гэблдон;Чужестранка
Герман Мелвилл;Моби Дик
Льюис Грессик Гиббон;Песнь на закате
Энни Пру;Корабельные новости
Уилбур Смит;Божество реки
Джон Ирвинг;Мир глазами Гарпа
Ричард Блэкмор;Лорна Дун
Жаклин Уилсон;Девчонки гуляют допоздна
Мэри Маргарет Кей;Далёкие шатры
Роальд Даль;Ведьмы
Элвин Брукс Уайт;Паутина Шарлотты
Мэри Шелли;Франкенштейн, или Современный Прометей
Терри Венейблс и Гордон М. Уильямс;Они играли на траве
Владимир Набоков;Лолита
Умберто Эко;Имя розы
Юстейн Гордер;Мир Софии
Жаклин Уилсон;Девочка-находка
Роальд Даль;Изумительный мистер Лис
Ричард Бах;Чайка по имени Джонатан Ливингстон
Антуан де Сент-Экзюпери;Маленький принц
Жаклин Уилсон;Дитя из чемодана
Чарльз Диккенс;Приключения Оливера Твиста
Брайс Кортни;Сила единства
Джордж Элиот;Сайлес Марнер
Брет Истон Эллис;Американский психопат
Джордж и Уидон Гроссмит;Дневник незначительного лица
Ирвин Уэлш;На игле
Иоганна Спири;Хайди
Дэвид Герберт Лоуренс;Сыновья и любовники
Милан Кундера;Невыносимая лёгкость бытия
Тони Парсонс;Мужчина и мальчик
Терри Пратчетт;Правда
Герберт Уэллс;Война миров
Роберт Лоуренс Стайн;Ужастики
Николас Эванс;Заклинатель лошадей
Рохинтон Мистри;Хрупкое равновесие
Терри Пратчетт;Ведьмы за границей
Теренс Уайт;Король былого и грядущего
Эрик Карл;Очень голодная гусеница
Вирджиния Эндрюс;Цветы на чердаке
Неизвестный автор;О всё видавшем
Неизвестный автор;Книга Иова
Неизвестный автор;Тысяча и одна ночь
Неизвестный автор;Сага о Ньяле
Данте Алигьери;Божественная комедия
Ханс Кристиан Андерсен;Сказки
Чинуа Ачебе;И пришло разрушение
Оноре де Бальзак;Отец Горио
Сэмюэл Беккет;Трилогия (Моллой, Мэлон умирает, Безымянный)
Джованни Боккаччо;Декамерон
Хорхе Луис Борхес;Вымыслы
Эмили Бронте;Грозовой перевал
Вальмики;Рамаяна
Вергилий;Энеида
Вирджиния Вулф;Миссис Дэллоуэй
Вирджиния Вулф;На маяк
Вьяса;Махабхарата
Кнут Гамсун;Голод
Федерико Гарсиа Лорка;Цыганское романсеро
Габриэль Гарсиа Маркес;Сто лет одиночества
Габриэль Гарсиа Маркес;Любовь во время чумы
Иоганн Вольфганг фон Гёте;Фауст
Жуан Гимарайнс Роза;Тропы по большому сертану
Николай Васильевич Гоголь;Мёртвые души
Гомер;Илиада
Гомер;Одиссея
Гюнтер Грасс;Жестяной барабан
Альфред Дёблин;Берлин Александрплац
Джеймс Джойс;Улисс
Дени Дидро;Жак-фаталист и его хозяин
Чарльз Диккенс;Большие надежды
Фёдор Достоевский;Преступление и наказание
Фёдор Достоевский;Идиот
Фёдор Достоевский;Бесы
Фёдор Достоевский;Братья Карамазовы
Еврипид;Медея
Итало Звево;Самопознание Дзено
Генрик Ибсен;Кукольный дом
Ясунари Кавабата;Стон горы
Никос Казандзакис;Невероятные похождения Алексиса Зорбаса
Калидаса;Шакунтала
Альбер Камю;Посторонний
Франц Кафка;Рассказы
Франц Кафка;За́мок
Джозеф Конрад;Ностромо
Халлдор Кильян Лакснесс;Самостоятельные люди
Джакомо Леопарди;Стихи
Дорис Лессинг;Золотая тетрадь
Астрид Линдгрен;Пеппи Длинныйчулок
Дэвид Герберт Лоуренс;Сыновья и любовники
Лу Синь;Записки сумасшедшего
Томас Манн;Будденброки
Томас Манн;Волшебная гора
Нагиб Махфуз;Предания нашей улицы
Герман Мелвилл;Моби Дик
Мишель де Монтень;Опыты
Эльза Моранте;История
Тони Моррисон;Возлюбленная
Роберт Музиль;Человек без свойств
Владимир Набоков;Лолита
Публий Овидий Назон;Метаморфозы
Джордж Оруэлл;1984
Джордж Оруэлл;1984
Фернанду Пессоа;Книга непокоя
Эдгар Аллан По;Рассказы
Марсель Пруст;В поисках утраченного времени
Франсуа Рабле;Гаргантюа и Пантагрюэль
Хуан Рульфо;Педро Парамо
Джалаладдин Руми;Маснави
Салман Рушди;Дети полуночи
Джейн Остин;Гордость и предубеждение
Саади;Бустан
Тайиб Салих;Сезон паломничества на Север
Жозе Сарамаго;Слепота
Джонатан Свифт;Путешествия Гулливера
Луи-Фердинанд Селин;Путешествие на край ночи
Мигель де Сервантес;Хитроумный идальго Дон Кихот Ламанчский
Мурасаки Сикибу;Повесть о блистательном принце Гэндзи
Софокл;Эдип-царь
Стендаль;Красное и чёрное
Лоренс Стерн;Жизнь и мнения Тристрама Шенди, джентльмена
Марк Твен;Приключения Гекльберри Финна
Лев Толстой;Война и мир
Лев Толстой;Анна Каренина
Лев Толстой;Смерть Ивана Ильича
Уолт Уитмен;Листья травы
Гюстав Флобер;Госпожа Бовари
Гюстав Флобер;Воспитание чувств
Уильям Фолкнер;Авессалом, Авессалом!
Уильям Фолкнер;Шум и ярость
Эрнест Хемингуэй;Старик и море
Пауль Целан;Стихотворения
Антон Чехов;Рассказы
Джеффри Чосер;Кентерберийские рассказы
Уильям Шекспир;Гамлет
Уильям Шекспир;Король Лир
Уильям Шекспир;Отелло
Джордж Элиот;Мидлмарч
Ральф Эллисон;Человек-невидимка
Маргерит Юрсенар;Воспоминания Адриана
